CLIENT_ID,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit
804424383,63,M,1,Unknown,Married,$60K - $80K,Blue,56,10215
718813833,44,F,3,Uneducated,Single,Unknown,Blue,34,10100
806624208,47,M,4,High School,Married,$40K - $60K,Blue,42,4785
778348233,53,M,3,Unknown,Married,$80K - $120K,Blue,33,2753
712991808,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2451
709029408,41,M,4,Graduate,Married,$60K - $80K,Blue,36,8923
788658483,53,F,2,College,Married,Less than $40K,Blue,38,2650
787937058,58,M,0,Graduate,Married,$80K - $120K,Blue,49,12555
715318008,55,F,1,College,Single,Less than $40K,Blue,36,3520
713962233,55,F,3,Graduate,Married,Less than $40K,Blue,36,3035
785432733,42,F,4,High School,Married,Less than $40K,Gold,36,15433
715190283,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3672
708300483,66,F,0,Doctorate,Married,Unknown,Blue,56,7882
827111283,45,M,3,Graduate,Single,$80K - $120K,Blue,41,32426
758551608,51,M,2,Unknown,Married,$40K - $60K,Blue,44,6205
773146383,50,F,1,College,Single,$40K - $60K,Silver,43,17304
778493808,49,M,3,High School,Married,$60K - $80K,Blue,37,3906
720572508,38,F,4,Graduate,Single,Unknown,Blue,28,9830
712661433,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,34516
789172683,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2283
738406533,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2548
799723908,46,M,3,High School,Married,$80K - $120K,Blue,40,19458
771490833,52,M,1,College,Single,$80K - $120K,Blue,40,4745
720756708,52,F,3,Unknown,Married,Less than $40K,Blue,41,2622
779471883,54,F,1,Graduate,Married,Less than $40K,Blue,40,1438.3
711525033,66,F,0,High School,Married,Less than $40K,Blue,54,3171
712813458,49,M,2,Unknown,Married,$120K +,Blue,36,19763
714374133,56,M,2,Graduate,Married,$120K +,Blue,36,15769
717891558,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,3298
716632758,49,F,3,Graduate,Single,Less than $40K,Blue,36,2802
768563658,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4458
711427458,44,F,5,Graduate,Married,Unknown,Blue,35,6273
714091983,42,M,2,High School,Single,$60K - $80K,Blue,34,3336
787584108,55,M,3,Unknown,Married,$80K - $120K,Blue,47,3436
712030833,48,M,2,Graduate,Married,$60K - $80K,Silver,35,34516
711481533,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5926
710082708,44,M,4,Post-Graduate,Single,$120K +,Blue,32,23957
708155733,53,M,2,High School,Single,$120K +,Blue,44,14734
788979258,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,34516
807986133,57,M,2,College,Married,$60K - $80K,Blue,52,6584
788730933,44,F,2,Uneducated,Single,Less than $40K,Blue,20,2084
711314058,49,M,2,Graduate,Married,$60K - $80K,Blue,32,1687
717975333,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,25300
715971108,51,M,4,Graduate,Single,$120K +,Blue,42,34516
720096558,55,F,2,Graduate,Married,Less than $40K,Blue,42,2216
719580033,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2910
820582308,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,22913
789973308,44,M,1,College,Single,$60K - $80K,Blue,35,24312
712876233,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5272
804595158,44,F,4,Graduate,Single,Less than $40K,Blue,36,7000
714826758,37,F,3,Uneducated,Single,Less than $40K,Blue,29,7038
779058108,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,2536
710790258,47,M,2,Graduate,Married,$80K - $120K,Blue,38,28904
715623483,47,M,3,Graduate,Married,$60K - $80K,Blue,37,8567
715156383,44,M,1,Unknown,Unknown,$120K +,Blue,36,34516
711013983,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2158
755420433,59,F,1,Graduate,Married,Unknown,Blue,52,10133
794543958,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,34516
716396358,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3085
715398033,53,M,2,High School,Single,$120K +,Blue,35,19040
711743883,43,F,3,Uneducated,Single,Less than $40K,Blue,35,4026
719720058,44,M,3,High School,Single,$60K - $80K,Blue,31,12756
778992108,57,M,2,Unknown,Married,$120K +,Blue,45,5266
717539808,51,F,2,High School,Single,Less than $40K,Blue,36,9930
714070758,49,M,4,High School,Single,$80K - $120K,Blue,38,31302
714107958,45,M,1,Graduate,Single,$40K - $60K,Blue,36,6576
789140283,53,M,0,Graduate,Single,$80K - $120K,Blue,42,2664
715550508,45,F,3,Unknown,Married,Unknown,Blue,28,2535
719712633,64,M,1,Graduate,Married,Less than $40K,Blue,52,1709
772629333,45,M,3,Graduate,Married,$40K - $60K,Blue,35,3454
720336708,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3789
802013583,56,M,3,College,Married,$120K +,Blue,50,9689
711887583,47,M,2,Unknown,Married,$80K - $120K,Blue,37,5449
714778833,49,F,3,College,Single,Unknown,Blue,43,23032
713843283,41,F,3,Unknown,Married,Unknown,Silver,34,34516
779155158,53,M,3,Graduate,Married,$120K +,Blue,34,2940
721091583,44,F,2,Graduate,Single,Less than $40K,Blue,32,3031
713572683,44,M,3,High School,Unknown,$60K - $80K,Blue,25,1862
716657058,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,8358
779509983,53,M,2,Post-Graduate,Single,$120K +,Blue,36,34516
717929133,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,14450
808284783,62,F,1,Unknown,Married,Less than $40K,Blue,56,1438.3
708476808,54,M,4,Unknown,Divorced,$120K +,Blue,36,33791
710916408,57,M,4,Graduate,Married,$60K - $80K,Blue,39,8466
708492558,42,M,3,Unknown,Married,$60K - $80K,Blue,36,15088
799825758,42,M,4,High School,Divorced,$60K - $80K,Blue,36,3263
718619883,54,F,0,Uneducated,Married,Less than $40K,Blue,36,1494
711844758,48,M,3,Graduate,Single,$80K - $120K,Blue,35,13551
714798783,49,M,1,Graduate,Single,$80K - $120K,Blue,36,18886
826762908,52,M,3,High School,Unknown,$80K - $120K,Blue,48,11976
771894558,50,M,3,High School,Single,$80K - $120K,Blue,39,9964
721074183,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,24159
715259583,53,F,2,High School,Married,Less than $40K,Blue,44,5362
718414008,50,M,2,Graduate,Single,$120K +,Blue,36,34516
719666283,55,F,1,Doctorate,Married,Less than $40K,Blue,36,3174
714877233,53,M,1,High School,Married,$80K - $120K,Blue,47,12262
785387883,47,F,3,High School,Single,$40K - $60K,Blue,41,3788
771075258,55,M,2,College,Single,$120K +,Silver,42,34516
711318033,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2926
783554958,58,M,4,Graduate,Single,$120K +,Blue,52,32090
720201033,53,M,2,Graduate,Married,$80K - $120K,Blue,41,11669
718039683,52,M,2,High School,Single,$40K - $60K,Blue,45,13532
710806083,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,11888
714752208,42,F,1,Graduate,Married,Less than $40K,Blue,36,2393
822063408,43,M,4,Unknown,Married,$40K - $60K,Blue,39,6111
714490308,57,M,4,Graduate,Married,$80K - $120K,Blue,46,19270
713356833,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3710
711402333,47,M,2,Doctorate,Single,Less than $40K,Blue,37,3235
708296883,44,F,3,Graduate,Single,$40K - $60K,Blue,38,11749
719154483,53,M,2,High School,Divorced,$60K - $80K,Blue,36,7753
717721458,45,M,4,College,Divorced,$60K - $80K,Blue,40,10408
711112683,63,F,1,College,Married,Unknown,Blue,36,3967
715674483,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,6205
789322833,48,F,5,High School,Married,Less than $40K,Blue,38,8025
789968058,51,M,1,Unknown,Single,$120K +,Blue,42,9036
709919283,54,M,4,Graduate,Married,$80K - $120K,Blue,34,14926
718744008,59,F,1,Graduate,Single,Less than $40K,Blue,36,6335
767712558,59,M,1,College,Single,$60K - $80K,Blue,53,14979
712950783,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2732
716104983,41,F,2,Graduate,Single,Less than $40K,Blue,32,2250
818839983,55,M,2,Graduate,Married,$120K +,Blue,50,10916
772288758,47,F,4,Graduate,Married,Unknown,Blue,36,5349
712350858,41,M,2,High School,Married,$80K - $120K,Blue,24,9366
711009708,40,M,3,High School,Single,$80K - $120K,Blue,28,21617
712720158,68,M,1,Graduate,Married,Unknown,Blue,56,13860
712215258,50,F,1,Graduate,Single,$40K - $60K,Silver,31,18386
773827008,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2405
795232683,53,F,1,College,Married,Less than $40K,Blue,47,2154
713786508,42,F,5,Unknown,Married,$40K - $60K,Blue,36,2038
713539833,48,F,4,High School,Single,$40K - $60K,Blue,38,8135
712454058,49,M,1,Doctorate,Married,$120K +,Blue,38,9364
718759833,44,F,2,Uneducated,Married,Unknown,Silver,35,32643
718803333,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3195
720253908,56,M,0,High School,Married,$80K - $120K,Blue,43,2852
714133158,59,F,1,College,Single,Unknown,Blue,36,4224
713187033,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,20459
714791208,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,3482
772426383,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,3065
710975883,51,F,3,Uneducated,Married,Less than $40K,Blue,43,2185
714264408,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1611
715827858,58,F,4,Uneducated,Married,Less than $40K,Blue,47,2822
713741358,46,M,5,Graduate,Single,$80K - $120K,Blue,33,32975
709531908,53,M,3,High School,Married,$60K - $80K,Blue,47,1438.3
716493408,45,F,4,Uneducated,Divorced,Unknown,Blue,36,15875
714141108,52,F,1,High School,Married,Less than $40K,Blue,45,6703
708953883,53,M,2,Unknown,Married,$80K - $120K,Blue,36,3212
712608783,50,M,2,High School,Married,$80K - $120K,Silver,45,34516
820353558,41,F,3,High School,Married,$40K - $60K,Blue,36,9797
714964758,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,10400
716264358,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,26792
717296808,67,F,1,Graduate,Married,Less than $40K,Blue,56,3006
712977183,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,19482
710829108,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,3356
779562633,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,5771
715315833,51,M,3,Graduate,Married,$80K - $120K,Blue,36,11106
815500983,59,F,1,Uneducated,Married,Less than $40K,Blue,54,2890
719360583,53,M,1,Graduate,Married,$60K - $80K,Blue,45,3380
709701558,47,M,3,Graduate,Married,$60K - $80K,Blue,36,21331
721148358,49,F,3,Uneducated,Single,Unknown,Blue,38,12860
779862408,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,6278
812627208,60,F,0,College,Single,Less than $40K,Blue,55,1438.3
711033408,50,F,2,High School,Married,Less than $40K,Blue,36,9355
779956608,41,F,2,Post-Graduate,Married,Unknown,Blue,31,20758
780376683,57,M,1,Graduate,Married,$80K - $120K,Blue,47,14612
717912483,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,27259
714454758,57,F,3,Graduate,Married,Less than $40K,Blue,47,6347
780466533,54,M,3,Doctorate,Married,$120K +,Blue,41,21592
715735233,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,3449
720476733,47,F,3,High School,Married,Less than $40K,Blue,34,6028
715872333,41,M,0,High School,Unknown,$120K +,Blue,36,18214
712375758,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,16393
708868233,68,M,0,High School,Married,Less than $40K,Blue,52,1438.3
718030083,59,M,1,College,Married,$60K - $80K,Blue,36,7871
720707283,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5288
771698658,44,M,5,Graduate,Married,$60K - $80K,Blue,32,11376
748326258,48,M,3,College,Married,$80K - $120K,Blue,41,12302
770817783,47,M,4,Graduate,Married,$60K - $80K,Silver,33,34516
779353083,47,M,2,Graduate,Married,$60K - $80K,Silver,32,34516
711441333,43,F,1,High School,Divorced,Less than $40K,Silver,35,10514
719808558,55,F,2,Graduate,Married,Less than $40K,Blue,43,1438.3
711551958,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,1438.3
809164083,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2619
820596183,58,M,2,College,Married,$120K +,Blue,53,24407
715999608,53,F,2,High School,Married,Less than $40K,Blue,36,2377
710565408,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,34516
805543158,52,M,3,Graduate,Married,$120K +,Blue,47,11086
709752183,48,M,3,High School,Single,$60K - $80K,Blue,36,11432
716479233,43,M,4,High School,Married,$40K - $60K,Blue,36,13258
713837058,48,M,2,College,Single,Less than $40K,Blue,36,2571
718876683,43,F,4,Graduate,Single,Less than $40K,Blue,31,5781
770746908,44,M,4,Unknown,Married,$60K - $80K,Blue,30,7872
794843883,41,M,3,High School,Married,$80K - $120K,Blue,35,34516
803043933,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,11127
758076408,50,M,2,Unknown,Single,$40K - $60K,Blue,43,1857
714606558,60,F,1,Uneducated,Married,Less than $40K,Blue,36,1913
778425408,44,M,4,Graduate,Single,$80K - $120K,Blue,24,3839
714171108,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,2115
719662458,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,1438.3
713137233,41,M,2,High School,Single,$80K - $120K,Blue,28,27756
769425858,45,M,3,College,Single,$60K - $80K,Blue,32,1438.3
711297483,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,13878
788900883,51,F,2,Graduate,Married,Less than $40K,Blue,36,3106
758348808,51,M,2,Graduate,Married,$120K +,Blue,44,34516
772336458,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,1438.3
708711483,57,M,2,Unknown,Married,$80K - $120K,Blue,46,18871
717906783,41,M,5,Graduate,Single,$120K +,Blue,29,5207
719437908,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,17965
769433508,43,M,1,College,Single,$60K - $80K,Blue,37,2733
790096533,55,M,2,College,Married,$60K - $80K,Blue,48,8863
720997383,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,1857
787541883,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,34516
709930758,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,11107
789830058,44,M,4,Unknown,Single,$80K - $120K,Blue,34,21573
710299608,53,F,2,Unknown,Married,Less than $40K,Blue,33,2859
710741208,39,M,2,High School,Single,$80K - $120K,Blue,36,5269
821797008,49,M,5,College,Married,$40K - $60K,Blue,45,1438.3
708874533,45,F,2,College,Married,Less than $40K,Blue,36,3387
715341858,54,M,2,Graduate,Married,$80K - $120K,Blue,46,1982
793636308,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,4645
713779908,46,F,3,Doctorate,Single,Unknown,Blue,36,2189
712125258,46,M,4,High School,Married,$120K +,Blue,30,2442
709703433,47,M,3,Graduate,Married,$60K - $80K,Blue,38,21304
721022433,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,7577
710103558,50,M,3,Post-Graduate,Single,$120K +,Blue,31,3234
715952883,73,M,0,High School,Married,$40K - $60K,Blue,36,4469
719731458,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,2910
772390908,59,M,0,High School,Single,$40K - $60K,Blue,48,3616
787348608,70,M,0,High School,Married,Less than $40K,Blue,56,3252
709485033,55,F,2,High School,Married,Less than $40K,Blue,36,2358
715432608,43,M,4,Unknown,Single,$60K - $80K,Blue,36,22322
799471833,45,M,1,Uneducated,Single,$120K +,Blue,39,3133
714187533,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,3540
779656908,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6990
788950158,36,M,2,College,Unknown,$80K - $120K,Blue,22,34516
778867533,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1438.3
710620383,43,M,4,Unknown,Married,$60K - $80K,Blue,35,24396
778661358,46,F,1,Unknown,Married,Less than $40K,Blue,36,2474
789483333,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5214
809855808,51,F,2,Graduate,Married,Less than $40K,Blue,46,5207
718464258,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,9512
708528483,43,F,4,Graduate,Divorced,Unknown,Blue,23,3187
771809733,64,F,0,High School,Married,$40K - $60K,Blue,53,3353
719942883,54,M,5,Graduate,Married,$60K - $80K,Blue,38,2290
807226683,48,M,3,Unknown,Single,$40K - $60K,Blue,43,5279
717806133,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,23603
720615708,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,2601
714511758,45,M,4,Graduate,Single,$80K - $120K,Blue,40,6363
715050408,41,M,3,High School,Single,$80K - $120K,Blue,36,8029
721132233,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2410
719211558,45,M,2,Graduate,Single,$60K - $80K,Blue,36,3401
712069008,42,F,4,Uneducated,Married,Less than $40K,Blue,23,2260
715996983,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,17682
773466258,48,F,4,High School,Married,$40K - $60K,Blue,42,4206
798983508,43,M,1,Graduate,Single,$80K - $120K,Silver,37,34516
719117433,41,M,4,High School,Unknown,$80K - $120K,Blue,36,23018
716451183,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5556
718621608,54,F,2,High School,Married,Unknown,Blue,44,6094
715085733,61,M,0,Graduate,Married,$40K - $60K,Blue,52,2939
788977833,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,5362
720272958,48,M,2,High School,Married,$120K +,Blue,36,27126
708421833,45,F,4,Graduate,Single,Less than $40K,Blue,36,3342
709173108,54,F,4,Graduate,Married,Unknown,Blue,40,2532
709879458,54,F,3,Doctorate,Married,Unknown,Blue,46,1900
715120608,44,M,3,Graduate,Single,$60K - $80K,Blue,37,14546
770632758,50,F,4,Doctorate,Single,Unknown,Blue,36,2521
779078733,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,16427
771742533,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,13068
720250158,45,M,2,College,Single,$60K - $80K,Blue,33,23218
716458983,60,M,0,High School,Married,$40K - $60K,Blue,36,3281
713747733,55,M,2,High School,Married,$40K - $60K,Blue,47,3096
712270158,62,F,0,High School,Married,$40K - $60K,Blue,52,2052
789562383,38,F,1,High School,Unknown,Less than $40K,Blue,30,1438.3
754897008,46,M,3,High School,Single,$40K - $60K,Blue,39,9432
819700533,50,M,0,High School,Single,$120K +,Silver,45,14938
712890408,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,2221
720248208,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,5731
779749908,48,M,4,College,Married,$60K - $80K,Gold,33,34516
717401883,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,6985
721509558,51,M,2,Graduate,Married,$120K +,Blue,42,24221
710572458,36,F,3,High School,Married,Unknown,Blue,24,15439
714576183,47,M,4,Graduate,Single,$80K - $120K,Blue,36,21637
721425558,52,M,2,Graduate,Single,$120K +,Blue,37,14543
711109908,43,F,4,Uneducated,Married,Less than $40K,Blue,36,9684
715203108,63,M,2,High School,Married,$40K - $60K,Blue,36,5007
710027508,61,M,0,Graduate,Married,$60K - $80K,Blue,54,1616
787464408,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,19116
783542133,53,F,3,Graduate,Married,Less than $40K,Blue,47,2759
708330858,57,M,3,Graduate,Married,$120K +,Blue,38,8249
714426783,38,F,2,Graduate,Single,Unknown,Blue,31,14041
712701333,53,M,3,High School,Married,$60K - $80K,Blue,43,5264
709494483,63,F,0,Unknown,Married,Less than $40K,Blue,54,2420
773373108,49,F,4,High School,Married,Less than $40K,Blue,43,2826
715812258,45,M,2,High School,Married,$80K - $120K,Blue,34,12518
778286433,67,M,0,Graduate,Married,$40K - $60K,Blue,56,5876
789270033,48,M,3,Graduate,Single,$80K - $120K,Silver,37,34516
711569433,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,9648
720214833,52,M,2,High School,Single,$80K - $120K,Silver,40,34516
709346133,55,F,2,Uneducated,Married,Unknown,Blue,35,3025
788194458,34,M,3,High School,Married,$60K - $80K,Blue,26,3265
720779733,56,M,1,Uneducated,Married,$120K +,Blue,36,6041
717424458,44,F,2,Post-Graduate,Married,Less than $40K,Blue,36,2293
708820308,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,13399
710558058,46,F,3,Unknown,Married,Less than $40K,Blue,38,4317
770590758,43,F,3,Graduate,Single,$40K - $60K,Blue,29,3378
718490658,50,F,1,Graduate,Single,Less than $40K,Blue,36,5012
711985833,38,F,4,Uneducated,Single,Less than $40K,Blue,30,2569
708967608,53,F,1,Graduate,Single,Less than $40K,Blue,45,3471
718505958,43,M,5,Graduate,Divorced,$120K +,Silver,31,34516
715024233,53,M,1,High School,Married,$120K +,Blue,36,3312
779249583,56,F,1,Graduate,Married,Less than $40K,Blue,38,2578
709278258,54,M,2,Unknown,Married,$40K - $60K,Blue,44,2902
778928283,57,F,3,High School,Married,Less than $40K,Blue,39,2742
712299858,62,M,1,High School,Married,Less than $40K,Blue,53,2077
799224108,46,F,4,Graduate,Single,Less than $40K,Blue,40,6265
809976033,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,7819
716203308,52,M,3,Graduate,Single,$80K - $120K,Blue,42,2731
714871683,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,1438.3
716139933,54,M,0,High School,Married,$80K - $120K,Blue,36,16286
716984658,49,M,1,Graduate,Married,$120K +,Blue,39,34516
713086008,58,F,3,High School,Married,Less than $40K,Blue,47,2609
713773458,52,M,2,High School,Single,$60K - $80K,Blue,45,7567
719242533,41,M,5,High School,Married,$60K - $80K,Blue,33,22770
772712658,62,F,0,Uneducated,Married,Less than $40K,Blue,50,3791
788868858,54,M,2,Graduate,Married,Less than $40K,Blue,39,2702
811898133,40,F,3,High School,Divorced,Less than $40K,Blue,35,2555
788808633,43,M,3,Graduate,Married,$80K - $120K,Blue,26,2355
779804208,53,F,2,Graduate,Single,$40K - $60K,Blue,42,5332
781391058,55,M,1,Uneducated,Single,$40K - $60K,Blue,49,1443
790134408,46,M,4,Graduate,Single,$60K - $80K,Blue,39,10741
788853258,41,M,1,Uneducated,Married,$60K - $80K,Blue,25,7984
711857733,49,M,3,Uneducated,Single,$60K - $80K,Blue,32,18584
822969858,61,F,0,Graduate,Married,Unknown,Blue,56,5585
719554758,46,M,2,Uneducated,Married,$80K - $120K,Blue,38,34516
711643458,50,F,1,Uneducated,Married,Less than $40K,Blue,43,1438.3
788830683,40,M,2,Graduate,Single,$80K - $120K,Blue,24,2478
807030858,51,M,4,High School,Single,$120K +,Blue,46,34516
793059108,50,F,2,Graduate,Married,$40K - $60K,Blue,44,2339
716568708,47,F,2,Graduate,Married,Less than $40K,Blue,36,2726
828281733,43,M,4,Unknown,Married,$120K +,Blue,39,14881
717229158,36,F,4,Graduate,Married,$40K - $60K,Blue,36,1628
715915458,47,F,2,Graduate,Married,Less than $40K,Blue,34,3156
819129858,46,F,2,Graduate,Single,Less than $40K,Blue,41,4745
713441958,46,M,2,High School,Married,$120K +,Blue,36,19727
719091333,52,M,0,Uneducated,Married,$60K - $80K,Blue,36,22720
708666258,43,M,4,Unknown,Married,$40K - $60K,Blue,36,8129
714914583,40,F,4,Graduate,Single,Less than $40K,Blue,27,3751
714363858,54,F,4,High School,Married,Less than $40K,Blue,36,1594
721347408,55,F,1,High School,Single,Less than $40K,Blue,43,2569
809608533,49,F,4,Post-Graduate,Single,Unknown,Blue,44,18206
772047183,45,M,4,High School,Married,$40K - $60K,Blue,34,3104
714217908,49,M,3,Graduate,Married,$40K - $60K,Blue,41,2406
714819183,63,M,1,Uneducated,Married,$80K - $120K,Blue,36,24571
716455683,40,F,3,High School,Single,Less than $40K,Gold,36,15534
710865633,41,F,2,Graduate,Married,Less than $40K,Silver,33,12301
752952108,37,M,4,Graduate,Married,$80K - $120K,Blue,26,2846
712595433,58,M,2,Uneducated,Unknown,$120K +,Blue,49,9788
714982383,55,M,2,High School,Married,$60K - $80K,Blue,36,7231
813814008,53,F,1,High School,Married,Less than $40K,Blue,48,2324
794545983,57,M,2,Graduate,Married,$80K - $120K,Blue,40,12208
708288108,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,5639
715585158,58,M,1,Graduate,Married,$60K - $80K,Blue,46,10021
810449883,64,M,0,Unknown,Married,Less than $40K,Blue,56,2215
789863208,54,F,2,Graduate,Married,Less than $40K,Blue,44,2027
715022133,53,M,2,Graduate,Married,$60K - $80K,Blue,47,6363
712506708,39,F,3,College,Single,Less than $40K,Blue,25,3920
715699983,56,M,3,High School,Married,$60K - $80K,Blue,36,9226
818942433,54,F,4,Unknown,Divorced,Less than $40K,Blue,49,9376
712459233,59,F,1,Post-Graduate,Married,$40K - $60K,Blue,46,1944
716545383,42,M,3,Uneducated,Single,$40K - $60K,Blue,36,9599
721144383,42,M,4,Graduate,Married,$60K - $80K,Silver,28,28202
821837958,43,M,3,College,Unknown,$80K - $120K,Blue,39,24850
804359133,55,M,0,High School,Married,$120K +,Blue,49,3805
713308683,52,M,1,Uneducated,Single,$80K - $120K,Blue,37,2733
788780958,46,M,1,Uneducated,Unknown,$40K - $60K,Blue,27,12781
717354558,57,M,2,Uneducated,Married,$120K +,Blue,40,3106
798473808,48,M,3,College,Married,$80K - $120K,Blue,42,7477
712372158,45,M,4,Unknown,Married,$120K +,Blue,33,34516
715192308,48,M,2,High School,Married,$120K +,Blue,36,29963
